FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
3.383	-1.238	2.399	1.933	-1.142	4.144	-0.852	-1.462	1.717	1.864	0.070	-3.827	-4.612	-3.065	-4.921	0.124	1.450	6.468	-6.632	2.536	-5.347	-2.044	-1.499	0.798	0.035	-2.319	-2.337	-1.600	21	Cars
-1.341	0.325	-1.705	8.245	1.532	3.777	0.063	-0.455	13.661	-4.453	3.809	-3.872	9.110	-0.271	0.899	-7.596	-0.708	0.641	-3.474	0.876	-2.886	0.886	-0.208	-0.766	-1.610	4.377	-20.444	0.973	21	ScrambledCars
-4.119	1.811	-8.260	-1.023	5.541	-10.553	2.663	-4.543	-10.132	-1.225	4.945	-2.020	-1.098	5.926	6.903	2.993	-7.660	0.567	-1.768	0.018	4.053	0.691	-0.119	-0.991	4.949	0.293	7.731	4.237	21	Faces
-1.215	-2.466	5.835	-0.065	-1.812	5.201	0.931	-8.044	-4.506	5.384	4.014	2.302	-7.041	3.324	4.870	9.828	-4.931	-7.152	4.842	6.932	5.776	0.519	5.852	-2.357	-0.309	1.178	-13.681	2.074	21	ScrambledCars
-7.674	5.676	-9.629	1.639	0.673	-7.062	-0.664	-3.371	3.796	-1.761	4.881	-3.395	-0.317	-2.280	3.612	11.017	16.580	-2.678	0.531	-3.163	-3.669	-1.369	-1.836	-0.762	2.744	2.666	0.052	-0.519	21	Cars
6.911	-1.690	4.827	2.112	-1.993	5.039	0.395	-4.776	-14.914	-1.831	-4.901	2.592	-1.457	5.488	-5.012	-5.947	0.287	2.949	1.269	5.606	5.804	3.156	1.606	3.441	-1.811	0.480	13.295	-1.538	21	Cars
-0.696	-2.603	3.181	5.640	-1.496	-2.952	1.504	0.168	-5.469	-1.197	4.334	5.241	2.886	0.399	-1.851	0.420	0.082	-0.396	-0.245	3.878	3.661	-6.251	-0.811	-0.969	-3.380	-2.695	3.788	-1.748	21	Faces
-4.202	-2.589	-4.574	6.369	-1.610	5.144	-1.384	-3.185	-4.498	-3.264	0.693	3.908	-7.497	-1.264	8.791	0.971	-3.344	3.655	-4.698	2.426	0.682	-5.378	-1.376	-5.224	0.572	3.947	-2.197	0.390	21	ScrambledFaces
-3.462	1.212	-0.761	4.708	1.712	5.120	1.186	-7.533	-4.856	-3.902	-1.069	5.409	-1.208	2.612	7.641	-8.950	-8.974	3.067	0.446	2.442	2.839	-0.975	0.023	1.813	-1.121	2.315	4.022	-0.309	21	Faces
-3.015	1.380	0.227	2.343	-1.531	8.538	3.251	5.710	3.057	1.867	6.746	7.067	0.879	-4.985	-0.428	-5.327	3.268	-3.914	-9.005	-6.513	-5.621	-0.733	-3.554	0.060	-0.487	0.685	0.813	-6.517	21	ScrambledFaces
9.570	-1.022	1.117	-2.119	-6.993	-5.215	-5.844	0.880	-7.202	-0.974	-6.645	1.093	-0.558	-2.512	-5.723	-6.256	14.040	8.992	1.576	-8.154	-8.002	8.293	3.498	-1.705	-2.314	4.683	23.418	0.277	21	ScrambledFaces
-1.404	4.652	4.300	4.963	-0.258	-6.664	1.801	-2.343	-12.707	2.624	0.495	-5.506	0.702	0.484	1.116	6.842	-1.723	-4.385	2.730	1.305	-0.270	3.237	0.889	-4.383	-4.676	-4.810	0.434	-0.712	21	Faces
0.753	-1.970	6.612	5.759	3.770	2.073	0.976	-4.281	7.699	-2.837	-3.948	0.295	-2.339	0.953	-5.714	-8.179	2.607	-0.029	-5.931	-0.387	-1.315	-1.794	-0.793	5.056	-2.394	-2.301	-4.757	-7.371	21	Faces
-2.882	2.081	-11.282	3.119	2.951	0.765	2.145	5.387	11.690	3.569	-1.631	3.461	-1.063	-0.132	-4.697	1.368	7.720	-7.562	-4.601	4.347	0.133	-7.904	-5.525	-0.604	-0.141	0.298	-12.675	5.517	21	ScrambledFaces
-1.678	0.457	-7.913	-2.251	-0.330	0.798	2.537	4.443	-1.074	1.208	1.888	2.478	5.981	2.836	10.922	-2.361	-7.153	-3.459	-2.822	-4.183	3.818	1.617	1.049	2.568	4.160	1.162	-5.734	1.096	21	ScrambledCars
-2.991	-2.624	-1.002	-3.060	3.781	-2.672	3.254	-1.473	-5.371	-4.738	4.817	11.263	2.768	1.676	0.446	-5.326	-12.721	-0.514	-1.778	-2.061	1.003	1.502	-1.809	2.469	1.269	2.686	11.050	0.959	21	ScrambledCars
-4.208	-3.719	-1.155	-1.231	-2.492	-6.531	4.940	0.911	11.021	1.770	5.760	5.206	3.028	-0.732	2.595	-7.683	-20.055	-1.156	-5.842	-7.559	-2.286	-2.355	0.056	0.188	-0.907	2.872	6.444	2.032	21	Cars
2.476	-2.865	1.551	-2.561	2.054	0.433	3.714	0.341	6.695	0.622	1.881	-1.955	0.097	-0.030	-13.901	3.095	-6.134	1.847	-1.066	1.467	0.551	0.583	-1.507	1.118	2.569	0.503	14.285	5.455	21	Faces
2.153	-2.173	1.809	5.164	4.609	-0.151	-1.729	-4.701	1.340	-0.351	-6.920	-7.565	-4.241	1.735	0.578	6.759	13.405	-0.856	1.840	4.915	2.040	1.180	3.621	1.615	1.461	-4.786	-8.071	-3.148	21	Cars
-2.718	0.613	1.110	-5.016	-0.564	-4.358	1.105	3.487	1.401	1.009	-2.711	2.502	-7.167	0.783	8.712	-1.217	0.894	-4.693	-2.313	1.852	-3.207	-0.187	1.575	0.401	-1.277	1.823	0.000	-2.719	21	Cars
-3.354	1.485	0.095	1.241	-4.648	-2.422	-5.698	-3.088	-9.066	-2.501	-1.229	-5.772	-3.063	-5.804	0.611	21.989	4.166	6.310	1.720	0.258	-1.814	-6.735	-5.993	-3.510	-1.571	-0.058	3.785	2.583	21	ScrambledFaces
2.945	5.902	-0.448	-2.920	0.646	6.054	3.155	3.141	3.491	3.612	4.180	1.195	1.952	1.174	-8.696	-15.735	-16.843	0.419	-5.685	-0.354	0.278	3.105	-1.051	-2.467	1.808	6.132	-3.137	-5.981	21	ScrambledFaces
3.392	4.654	4.392	0.654	1.789	0.192	2.845	0.489	3.152	-0.709	0.903	0.392	-16.158	1.185	-10.020	0.369	-2.119	-0.772	-4.125	7.602	2.947	-1.060	1.070	1.367	-0.459	-3.138	13.634	-3.998	21	Faces
0.184	6.118	6.911	2.419	-0.505	-6.562	-1.265	-4.672	7.756	-1.827	-8.177	-7.622	3.480	4.040	6.722	9.921	-1.545	8.155	1.608	5.477	1.378	-4.465	-0.140	0.242	-1.974	-2.753	-8.812	-0.398	21	Cars
-2.042	-2.603	-5.244	0.693	-8.093	-10.446	-5.350	-4.005	-7.493	-4.795	0.240	-0.937	1.087	-0.533	13.276	21.611	6.799	1.927	-5.335	-0.767	9.941	-1.362	-4.089	-3.016	1.621	5.123	-6.180	4.805	21	ScrambledCars
4.005	3.982	-1.779	-0.098	1.129	1.268	-1.007	-5.567	-9.214	-0.273	7.902	3.927	-1.893	2.798	-0.928	3.433	-11.484	-2.691	1.455	1.889	4.931	3.912	2.583	4.442	0.082	-4.470	-18.029	1.201	21	Faces
3.361	-3.070	0.536	-4.416	0.306	-5.021	4.809	5.122	-3.738	2.019	6.565	3.745	14.746	2.167	-10.064	-4.954	-12.913	-2.963	-5.878	-2.751	-0.228	4.527	-1.638	4.657	2.058	5.768	5.641	8.528	21	Cars
-6.456	-2.618	-3.709	-3.828	-2.778	2.343	0.749	1.538	19.867	4.003	2.123	5.761	-7.122	-3.053	2.492	-3.175	-4.802	-0.653	-13.459	-3.804	-4.556	-6.122	-7.925	-0.228	5.232	3.103	2.342	3.966	21	ScrambledFaces
0.742	1.602	-4.580	8.236	0.940	3.047	2.772	-5.603	-6.837	1.075	1.630	-3.874	2.610	2.677	-1.060	-3.809	5.234	-0.605	-3.284	7.601	6.544	-0.348	0.694	2.772	-3.482	-1.351	-0.517	-7.244	21	ScrambledCars
-2.920	2.276	-2.254	-1.453	0.461	-1.625	-2.677	7.527	1.825	0.437	-0.303	-4.524	-1.267	0.707	6.244	-0.698	-3.447	-0.834	-1.235	0.597	3.412	-0.078	1.638	-2.774	2.398	2.979	14.361	-4.842	21	ScrambledFaces
5.968	-2.736	9.156	3.137	6.948	2.255	-0.412	-2.806	-11.190	0.559	-8.240	-1.764	4.214	1.593	-9.683	3.028	6.721	7.575	-1.298	1.806	1.531	-4.729	-1.465	1.189	-0.826	-0.655	4.003	-8.665	21	ScrambledCars
-3.710	-0.370	3.015	3.810	-0.050	7.890	-0.419	-7.993	-9.119	-4.069	1.430	-1.203	-1.776	-3.571	2.935	8.718	0.322	1.843	1.929	2.384	0.905	3.324	-3.591	-0.737	0.816	-0.420	5.962	0.667	21	Cars
-4.206	-1.831	1.333	-3.451	2.943	-2.383	2.202	9.386	-11.659	-0.509	-2.940	4.836	1.065	-3.225	10.500	1.935	10.739	-0.122	-5.328	-6.335	-8.591	-3.883	-4.652	-2.203	-2.895	-0.049	2.184	1.184	21	Faces
-0.253	-5.395	3.322	5.609	1.716	-3.555	-0.274	-7.115	-9.369	0.598	-0.669	-1.796	-4.174	-1.361	7.690	6.886	8.055	-0.003	-0.627	-0.239	2.227	0.832	5.374	-0.943	-1.567	-0.286	-1.366	-2.932	21	Cars
-2.533	1.186	3.834	-2.543	-0.783	-0.328	-1.317	3.174	-0.606	4.738	2.649	1.480	-2.976	-0.670	-7.138	-1.259	-9.496	-2.963	-2.236	5.513	-2.547	-5.566	-2.063	0.173	3.747	1.094	1.334	2.040	21	ScrambledCars
0.818	-0.504	4.408	4.549	0.148	4.890	-2.851	0.330	-2.384	-0.817	6.092	0.884	-1.696	1.077	0.066	1.765	-14.498	0.829	-4.621	-7.111	-1.708	-1.234	1.847	-3.817	1.355	2.696	-14.339	1.159	21	ScrambledCars
1.376	-5.648	-4.042	-1.298	-2.010	2.660	-1.085	-10.324	5.340	3.142	-0.927	-1.884	-2.113	3.544	-5.531	-1.558	28.651	2.008	-4.081	1.119	-0.488	-0.645	-2.832	1.974	2.716	2.698	-2.324	0.912	21	Cars
-2.356	0.856	-4.460	-2.338	1.816	4.437	3.063	0.676	9.354	2.135	-2.148	-3.934	5.552	1.653	-2.775	-5.950	7.635	-6.953	3.466	4.659	4.848	3.994	-0.014	1.331	0.811	6.967	3.343	0.789	21	Cars
5.376	-1.594	-4.205	5.199	8.808	3.869	3.312	2.167	-14.289	3.607	2.307	5.922	0.605	0.205	9.500	-3.189	7.633	-1.152	0.416	4.441	8.985	0.486	4.035	-3.051	-9.568	-7.314	-10.626	-6.665	21	Faces
0.558	-4.972	10.810	7.993	1.549	-0.586	-2.471	-1.110	1.588	0.492	-6.701	-4.792	0.074	5.688	-3.265	17.876	-12.313	-3.048	0.555	-1.831	2.025	-2.307	1.438	-2.417	4.205	-2.933	1.519	5.646	21	ScrambledCars
-0.963	3.685	0.826	2.532	1.229	10.624	2.090	1.230	-8.816	-3.671	-1.889	-1.472	-0.137	-1.619	9.799	3.759	0.989	2.092	2.022	8.423	2.346	0.468	0.370	-2.738	-2.913	2.041	-10.969	-4.090	21	Faces
0.666	9.141	2.380	-0.664	-3.212	-9.124	-3.679	-0.633	2.169	-2.078	-3.530	-1.652	1.165	-1.037	-0.137	0.033	5.289	6.164	-4.169	1.925	-3.299	-1.054	-2.954	1.373	-4.358	0.697	-2.156	-1.353	21	ScrambledFaces
-4.164	3.440	-1.475	0.252	0.109	2.809	1.952	-3.419	-6.098	1.925	-1.154	0.955	-2.529	3.359	5.444	4.675	-2.688	-1.266	0.768	7.855	-1.319	-0.313	-3.659	-5.068	4.404	-2.655	-8.889	4.414	21	ScrambledCars
2.849	-0.143	-2.613	1.655	3.969	7.585	1.464	-0.803	1.772	3.966	-0.703	0.842	0.019	3.378	-2.431	0.087	-12.237	-2.457	1.358	-0.518	-3.271	3.535	1.507	-1.153	0.324	-1.905	-1.645	-3.285	21	Cars
0.195	6.433	-2.789	-4.070	4.999	-10.395	-5.799	-6.090	-1.435	-2.787	-2.375	-6.299	4.765	12.205	4.373	7.268	0.787	8.154	-2.938	3.323	0.822	-2.085	-3.158	1.293	0.916	4.849	-4.118	2.812	21	Cars
7.613	-6.287	-5.060	-0.862	1.756	1.369	3.484	3.667	-14.085	6.247	5.625	10.425	4.781	-0.964	-10.025	-14.631	-11.298	0.824	-1.570	-1.978	-2.312	1.027	2.415	3.619	8.261	-0.544	4.374	11.305	21	ScrambledFaces
-1.084	-7.279	-1.599	3.728	-4.444	-1.079	-2.249	-2.240	-1.990	1.473	4.443	-0.045	0.796	2.533	1.598	9.717	3.587	-2.620	-1.061	0.938	5.165	-4.389	-1.115	-3.044	-3.022	-4.334	-5.001	0.742	21	ScrambledCars
4.623	4.512	8.316	1.342	4.362	-2.242	-4.522	0.288	0.121	-5.755	-11.957	-1.946	-13.306	-1.416	0.574	0.981	2.842	4.191	3.581	3.678	3.035	2.214	3.970	-3.727	-1.982	-0.085	-3.319	-0.867	21	ScrambledFaces
-2.437	0.749	4.203	-1.128	-4.080	-5.747	2.618	-0.608	2.804	2.943	3.415	1.668	2.085	2.695	-9.911	-4.383	-6.925	-0.102	-8.648	-0.792	-5.545	-6.213	-5.113	0.810	1.015	2.112	2.261	0.065	21	ScrambledCars
