FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-3.830	-8.210	-4.048	-3.738	-4.102	-0.062	1.676	2.793	11.116	0.754	3.364	2.035	-2.068	0.034	1.062	-5.418	-1.692	1.962	1.092	-2.380	-3.290	-0.788	-1.761	1.179	2.161	-0.888	-3.065	-2.415	35	ScrambledFaces
2.350	-5.500	-3.839	-4.984	-5.641	6.405	-0.717	6.056	8.420	-5.316	3.777	0.330	-9.120	-7.161	-0.698	-2.483	-1.433	4.513	-2.187	-7.707	-6.731	-0.273	3.825	4.499	6.904	11.330	0.162	3.622	35	ScrambledFaces
-2.510	0.205	-2.565	-4.329	-8.364	-2.869	-4.506	2.808	10.026	1.133	5.750	-2.595	-5.180	-6.989	-2.569	-0.767	-2.897	-8.498	-2.240	4.751	1.576	-7.062	-3.814	-7.352	3.947	6.219	-2.473	1.125	35	ScrambledFaces
-7.277	-3.537	-1.024	1.093	2.993	-10.532	7.019	3.074	12.506	-5.687	4.207	3.804	-3.391	8.388	-7.533	-0.651	-1.823	-4.185	-4.286	6.851	13.980	4.165	1.112	1.725	-1.265	5.426	2.514	1.788	35	Cars
0.192	-4.098	4.636	-6.545	-10.996	-4.316	-5.861	4.937	10.614	1.315	14.863	6.169	-12.754	-8.092	2.085	-5.780	-2.568	6.087	-2.552	-8.423	-18.501	-6.308	-2.407	-7.530	4.010	5.539	1.719	11.262	35	ScrambledCars
-1.949	-3.204	-6.686	-1.708	-1.626	-1.642	2.613	9.565	9.908	2.815	9.978	5.430	1.127	3.546	-2.535	-2.794	-4.125	-8.337	-6.470	-0.543	-0.017	1.152	-8.569	2.327	-4.628	4.356	15.570	11.020	35	Faces
4.771	0.772	-1.153	-1.336	-6.810	-17.622	-5.370	6.571	5.148	7.539	1.955	1.703	0.981	-3.741	0.282	-0.289	1.723	5.094	0.199	-2.266	-4.114	-0.032	-0.484	-0.953	0.968	0.442	-1.938	1.348	35	ScrambledCars
-2.725	-5.989	4.612	-4.649	-5.729	-5.356	-6.108	-4.061	11.463	6.937	6.436	2.983	-8.388	-6.247	-5.279	-10.569	-5.331	0.934	-9.005	-10.490	-6.052	-1.346	-4.513	-6.853	0.663	7.764	-2.147	3.999	35	ScrambledFaces
3.521	-0.532	-0.920	2.023	-4.643	8.573	-5.034	-1.351	7.730	-2.772	6.226	0.535	-2.407	-5.303	2.057	1.262	7.501	4.508	4.518	-5.274	0.123	-7.854	0.372	-9.342	-3.392	-1.341	0.586	1.545	35	ScrambledFaces
-5.931	-4.782	-11.079	-10.217	-8.010	-13.958	3.486	13.261	15.838	8.393	17.197	5.426	-0.397	0.600	-0.974	-3.192	-1.177	-5.760	2.228	-5.069	-3.396	0.357	-5.723	-3.722	0.424	4.181	4.686	10.295	35	Faces
1.041	7.035	3.109	-0.506	-5.179	-7.153	1.997	1.689	-2.247	-6.652	1.371	-1.475	-0.575	0.759	7.652	5.566	3.868	2.581	-0.742	3.925	1.959	-7.240	-2.141	1.694	-0.897	-0.927	0.372	-5.413	35	Cars
