FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-14.322	-13.144	-19.190	-8.549	-1.479	-7.613	4.189	6.933	14.117	10.323	11.503	10.999	12.441	10.740	-17.660	-11.148	-12.717	-12.743	-1.837	-6.025	3.036	6.972	6.074	10.006	11.471	14.649	9.629	10.527	24	Cars
-5.276	-2.605	-4.867	-5.738	-0.698	-0.289	9.530	13.553	13.805	13.204	11.595	9.163	2.957	-1.934	-11.944	-10.792	-10.925	-16.512	-11.820	-10.016	-5.514	-7.067	-9.616	-0.933	5.741	2.347	7.666	6.949	24	Faces
-2.830	2.369	1.301	0.975	-2.033	5.507	0.374	4.225	9.073	2.490	4.340	3.447	-3.861	-6.889	-6.406	-4.297	-4.907	-2.038	-3.360	-3.545	-4.477	-3.128	4.945	-0.582	3.368	3.767	-1.691	-1.386	24	Faces
-3.425	-3.216	-6.287	-5.764	-10.027	-9.308	-6.947	2.181	9.107	-0.830	3.284	5.842	-16.445	-9.020	4.395	-4.053	-7.172	2.720	-4.441	-6.588	-8.697	-5.078	-3.004	-2.120	12.202	14.406	2.815	10.372	24	ScrambledFaces
-2.016	-3.205	-6.703	-0.452	-0.789	-7.626	4.065	-5.946	-0.379	2.762	5.677	-0.206	0.228	2.496	4.767	3.923	1.565	-2.234	2.891	10.773	7.016	6.896	-0.121	7.460	2.245	-2.451	3.771	1.109	24	Cars
-3.164	-8.891	-3.722	-5.108	-10.159	-9.432	-4.780	3.013	10.270	-20.312	4.567	3.952	-10.022	-13.176	0.662	-3.966	-2.095	6.940	-2.094	-4.096	-7.888	-1.606	3.932	3.161	13.190	12.447	3.256	7.868	24	Faces
-5.265	-3.886	-9.254	-1.901	0.582	-0.556	9.498	5.546	5.359	10.282	5.295	7.851	4.565	3.558	-7.851	-0.507	-3.056	-10.961	-4.907	4.977	4.961	-5.883	-9.292	-0.008	3.737	11.828	7.258	8.409	24	Faces
1.798	-0.048	1.451	-0.418	0.807	-0.492	0.802	0.728	1.125	1.641	-3.599	-0.269	-2.323	1.596	-1.796	0.627	-0.389	-3.934	1.317	1.307	-0.867	-0.270	-5.598	-2.289	1.090	3.562	0.563	-1.102	24	ScrambledFaces
-9.069	-10.925	0.545	-11.699	-7.937	-6.232	-0.006	11.160	17.065	8.018	13.136	13.373	-3.068	-9.158	-9.507	-13.579	-11.512	-4.353	-12.747	-16.896	-13.696	-6.993	-1.285	-3.738	6.380	12.994	6.446	10.885	24	ScrambledFaces
-9.723	-3.706	-6.793	-2.258	-0.160	-0.734	4.515	12.031	12.947	6.725	11.413	6.551	1.173	-5.938	-7.738	-8.171	-8.528	-11.163	-8.142	-7.503	-6.905	-7.471	-8.729	1.298	6.437	11.150	8.355	10.489	24	ScrambledFaces
-3.811	-6.889	-1.061	-4.886	-10.308	-3.898	1.734	9.200	18.332	7.393	12.236	7.078	-5.822	-12.859	-9.505	-13.417	-14.162	-6.504	-12.811	-13.151	-14.774	-8.651	-2.206	2.751	10.829	16.856	7.707	11.733	24	ScrambledCars
2.915	5.405	6.632	4.175	3.773	6.211	4.898	-2.691	0.082	-1.341	3.369	-4.968	4.349	-0.092	-5.568	-3.397	-8.703	4.453	-7.864	-4.056	0.344	-4.321	-2.062	-2.001	-1.669	-0.022	5.450	2.523	24	ScrambledCars
-3.504	-1.560	6.552	-2.509	-3.856	-4.206	0.096	4.284	7.552	1.154	3.552	3.436	-3.400	-0.700	-7.590	-5.163	-4.590	1.933	-4.580	-5.595	-5.827	-0.668	-2.641	-2.646	5.638	0.759	-2.544	3.290	24	Cars
-0.472	-6.865	3.717	-3.829	-7.733	-4.396	-3.142	6.271	6.288	2.687	3.712	5.460	-8.069	-12.924	-16.050	-14.661	-9.846	-7.360	-8.427	-16.673	-15.990	-5.675	-0.901	1.288	14.541	17.108	4.475	6.672	24	ScrambledFaces
8.931	6.043	6.386	5.081	-3.897	0.733	-10.521	-4.294	-2.490	-9.377	-4.888	-11.961	-10.195	-12.058	13.969	3.616	7.662	10.679	1.667	0.793	-5.491	-3.118	0.911	-11.744	-3.240	-5.788	-9.185	-7.897	24	Cars
