FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-6.410	2.789	-9.824	2.019	-1.985	-1.303	0.781	0.426	7.506	-18.237	10.735	1.723	0.383	-0.888	-0.247	2.308	5.211	2.888	6.857	-2.051	-7.081	2.313	2.010	-3.936	2.065	5.585	2.358	7.237	39	Faces
3.642	-7.868	-3.600	-6.978	-6.794	-5.191	2.726	11.529	13.455	-8.640	2.408	1.204	-7.523	-9.943	-4.997	-13.575	-7.365	-3.019	-4.278	-7.350	-9.567	-4.122	0.260	5.309	15.756	22.653	12.212	16.810	39	Cars
-3.103	-0.405	-5.276	4.465	7.388	-1.665	12.104	1.732	3.003	-7.457	-2.819	4.041	8.146	8.900	2.621	3.201	5.729	1.734	4.535	4.015	6.743	-1.774	-5.129	-2.567	-6.283	12.149	0.094	-3.104	39	Cars
1.398	2.356	3.664	1.447	-5.613	-2.721	-2.155	-0.791	3.839	-13.340	-10.330	8.015	-12.455	-4.863	-2.243	-4.131	0.545	-0.377	1.226	-7.238	-6.100	-2.410	0.245	-6.125	10.470	9.820	-0.036	4.011	39	ScrambledCars
7.126	-0.843	-2.188	-10.378	-17.793	-6.300	-5.049	0.853	4.024	0.731	4.789	7.015	-11.220	-14.480	0.887	-6.355	0.455	0.943	-1.214	-9.627	-11.935	-1.222	3.081	4.120	5.099	3.826	5.613	13.820	39	ScrambledFaces
6.555	1.051	-0.701	-3.015	-5.845	-3.864	-1.178	-11.806	-4.954	-5.999	13.597	-0.457	-8.422	-3.898	7.530	3.012	14.988	5.508	-0.566	4.793	3.940	1.785	-0.260	-6.398	-1.814	-4.424	-5.532	4.814	39	Faces
-16.730	-14.306	-8.850	-7.381	1.246	2.969	10.640	14.531	19.558	31.034	6.434	5.769	-0.442	3.438	-5.588	-12.473	-0.963	1.101	-0.320	-8.049	-3.494	1.944	0.855	4.263	5.215	2.712	6.765	12.031	39	Cars
3.627	-9.344	-4.385	-9.587	-4.428	-2.250	7.147	-1.775	2.606	13.680	7.849	2.708	5.736	-3.346	2.666	-6.901	1.211	2.098	-3.470	-9.058	-9.961	-1.473	0.157	6.562	1.116	7.004	8.613	9.884	39	ScrambledCars
-7.917	-13.973	-4.941	-12.287	-2.632	-8.145	12.727	7.540	12.019	6.859	11.635	19.725	4.909	-1.664	-8.646	-12.632	-14.332	-5.828	-10.241	-12.825	-7.457	-6.881	-2.342	7.568	8.302	12.432	14.587	13.587	39	Faces
-9.005	-7.808	-6.577	-1.803	-0.764	1.950	8.616	8.802	6.607	-1.904	12.236	7.864	1.607	-2.838	-8.464	-7.008	-12.132	-6.621	-3.191	-1.762	-3.650	-2.953	-5.209	-1.512	-0.543	15.183	5.482	12.078	39	ScrambledFaces
-2.210	2.463	-2.017	1.120	-3.895	-5.421	-1.363	-4.056	-0.628	11.449	-20.443	1.043	1.538	1.600	1.350	6.013	-1.505	2.076	6.028	6.830	6.557	0.173	1.942	1.965	2.082	-1.435	4.400	6.959	39	Faces
-6.354	-9.607	-13.548	-6.380	-3.374	-6.521	7.156	-0.510	5.587	0.324	21.779	14.004	-4.124	-1.749	-4.898	-8.241	-10.987	-2.316	-9.178	-7.190	-4.904	-5.067	2.124	15.259	6.695	14.930	18.883	17.434	39	ScrambledCars
-6.659	0.388	-9.911	3.571	-7.317	-8.621	-4.099	-8.417	-0.851	-0.351	1.029	1.846	1.255	1.210	-1.989	-1.209	-3.355	0.802	-2.756	-2.362	-4.523	3.306	3.182	4.451	8.276	7.723	6.136	-0.015	39	Faces
-5.507	3.358	3.302	-2.105	1.747	4.623	8.230	0.053	9.271	-1.109	-5.842	3.441	-7.105	-3.749	-2.871	-2.978	0.141	-1.486	-1.018	1.023	2.278	-4.050	-2.705	-2.778	-0.723	-3.113	-2.729	2.944	39	ScrambledCars
3.389	2.352	-1.626	0.900	-3.522	5.445	-1.324	-4.959	-4.603	-19.871	3.026	3.580	2.794	-6.678	0.350	-4.998	-0.735	1.035	-0.863	-4.597	-6.482	-3.256	2.497	4.629	4.806	15.866	17.993	14.140	39	ScrambledCars
