FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
1.912	4.218	2.816	0.597	0.880	3.990	4.245	4.931	13.857	-1.541	-2.807	2.315	-2.241	7.293	-0.232	-0.595	-3.084	3.828	0.195	0.673	-3.543	-1.319	-7.758	-2.882	-3.270	-1.039	-8.211	-2.625	40	ScrambledCars
-12.387	-2.921	-7.457	-7.770	-0.765	-1.719	7.935	2.260	5.841	-3.725	7.901	9.114	5.316	0.823	-12.631	-9.649	-12.311	-4.032	-0.745	-3.638	-3.934	-0.648	1.079	9.012	6.364	11.479	29.054	17.407	40	Cars
-5.151	7.812	-4.031	-5.483	-0.211	-10.039	-1.765	-0.096	3.848	0.442	6.732	1.029	-2.672	-6.669	0.792	-0.497	-1.409	3.303	-0.534	-1.186	-9.476	-2.981	-5.476	-0.660	-0.635	7.006	11.238	6.021	40	ScrambledFaces
-20.652	-10.064	-3.586	-1.178	10.596	8.246	16.023	11.761	4.893	20.467	20.415	5.838	7.372	7.421	-23.836	-5.395	-16.142	-11.125	-9.501	-3.986	10.726	-2.341	-10.455	2.547	3.315	9.802	7.784	9.899	40	ScrambledCars
-5.598	-7.701	-5.382	-4.983	-12.584	-6.316	-9.962	4.939	-0.756	-0.585	11.026	9.663	-10.495	-10.554	-3.389	-2.917	-1.826	3.315	4.132	-5.017	-4.310	-6.087	4.729	-2.549	7.773	9.772	13.333	7.123	40	ScrambledFaces
-10.219	7.041	-1.190	10.232	0.966	2.615	0.293	2.553	13.320	15.491	12.343	5.967	-3.137	-6.702	-12.209	-3.112	-4.031	-14.037	-15.058	-2.005	-11.740	-7.362	-15.232	-0.356	4.008	13.653	-0.225	5.307	40	ScrambledCars
-27.257	-16.907	-17.515	-8.623	-3.528	-4.258	13.186	3.516	20.357	32.959	18.898	13.267	14.439	7.017	-29.228	-3.884	-2.006	-15.169	-1.510	-3.171	4.349	1.671	-2.666	10.659	8.242	17.004	10.668	11.750	40	ScrambledFaces
-2.018	-4.037	-0.789	-4.731	-3.928	1.089	4.229	-0.449	15.498	2.530	5.248	3.685	-1.941	-5.407	-5.210	-2.423	-0.901	-3.182	-3.085	1.537	3.449	-2.854	-4.508	3.584	-0.438	4.875	-5.898	4.775	40	ScrambledFaces
-2.763	-8.896	-1.708	-3.808	-0.139	1.837	6.747	3.667	10.873	2.638	18.154	11.883	-2.204	-2.437	-3.209	-4.689	-11.620	-0.473	0.577	-9.530	-4.539	6.267	-1.879	0.201	-5.015	-2.501	-0.125	4.529	40	Faces
3.205	-6.660	-2.121	-2.963	-11.960	-6.561	-7.125	-5.525	0.873	-4.559	-2.226	3.119	-2.106	-7.671	3.656	-2.644	0.251	4.047	-0.588	-5.190	-0.554	-6.297	-0.578	4.834	13.133	7.606	-7.821	10.560	40	ScrambledFaces
-18.973	-12.999	-11.606	-16.527	-2.994	-3.586	3.174	12.131	16.926	9.552	16.825	-4.432	3.977	-0.827	-13.696	-6.729	-1.883	2.019	-4.902	-0.863	-5.282	3.208	-1.421	8.476	-0.936	9.717	2.715	1.935	40	Cars
-9.233	-3.380	-5.884	-12.318	-0.463	-3.660	9.419	-3.718	12.089	3.132	7.240	10.760	6.055	5.275	-6.721	-8.434	-3.571	-3.238	-3.780	-8.751	5.164	-0.041	0.734	7.503	7.298	9.570	-4.235	4.568	40	ScrambledFaces
13.366	-1.121	0.145	-1.733	-12.671	-8.722	-9.029	-13.537	-8.332	-10.018	-14.998	4.767	-1.033	-5.327	5.023	-0.218	-3.534	-5.339	-9.659	-1.496	1.509	-7.713	-4.008	0.563	5.197	14.835	12.870	40.451	40	Cars
7.232	-2.290	0.338	-0.291	2.369	-3.447	-4.488	0.473	4.106	-10.459	8.147	0.463	2.916	1.454	1.341	1.097	-0.747	3.746	2.686	2.134	-0.329	0.653	-1.881	-6.399	-3.530	-6.062	0.435	2.717	40	Faces
-7.642	-5.472	-5.825	-7.344	1.460	-0.601	-2.420	1.195	0.184	6.981	-1.304	4.311	1.722	4.215	-7.005	-2.696	-1.780	-4.063	0.555	-2.571	-2.420	4.525	-2.464	8.492	0.602	8.231	11.719	9.662	40	Faces
3.678	12.329	8.585	-3.991	-0.096	3.792	9.924	-5.901	-0.256	-3.730	3.704	-11.283	-11.257	-14.485	7.946	-2.380	-1.262	12.577	0.890	-5.324	-13.795	-7.575	-0.656	-10.774	-6.612	-2.838	-19.604	-8.150	40	Faces
7.759	11.220	2.824	9.745	2.279	-3.296	-3.343	-1.054	1.736	1.598	-6.373	-10.592	-7.874	-7.510	5.348	5.888	3.076	-2.688	3.671	7.105	2.470	-1.940	-3.099	13.810	-9.044	-9.274	-23.495	-2.915	40	ScrambledCars
-6.866	-1.394	0.607	-0.769	-1.732	1.753	-0.256	5.623	5.072	-2.575	16.280	-1.289	-5.298	-9.598	-9.954	-2.747	-4.041	3.105	-2.446	-4.384	-2.344	-6.708	-3.255	-1.717	4.166	9.028	3.650	10.987	40	ScrambledFaces
-10.866	12.040	-5.301	19.981	13.929	9.429	5.718	-6.099	-3.988	11.818	0.189	-2.116	0.601	2.263	-9.040	11.896	5.994	3.557	4.600	11.406	13.919	3.175	2.918	-18.936	-14.512	-9.284	-2.445	-8.851	40	Faces
-18.065	-8.670	-10.712	-2.221	-2.240	-4.190	9.189	1.309	13.279	8.994	18.857	18.636	7.804	-0.697	-19.686	-11.159	-4.651	-16.183	-11.456	-5.257	-5.521	-1.620	-0.921	13.086	9.288	19.150	17.805	17.693	40	Cars
21.766	14.860	16.977	1.424	-3.726	8.088	-16.129	-9.411	-13.575	-18.811	-16.062	-3.655	-10.125	-12.727	19.929	6.813	1.713	7.864	-4.752	3.785	-7.697	-10.580	-9.187	-9.590	-4.486	-5.266	-6.848	-9.633	40	Cars
-12.855	-9.532	-11.095	-10.347	-5.410	-7.093	12.559	-4.603	10.635	11.712	14.801	12.025	6.593	1.097	-13.194	-3.842	-0.338	1.673	-5.450	-5.765	-1.773	-8.233	0.324	8.774	4.901	7.594	7.468	9.455	40	ScrambledFaces
-21.846	-12.610	-9.684	-1.887	1.668	-1.749	10.881	1.397	18.722	7.446	18.696	11.177	2.732	-0.666	-19.802	-3.376	-4.185	-13.370	1.798	-1.484	-4.047	-3.061	-10.321	1.456	11.847	18.119	15.982	19.816	40	ScrambledFaces
-10.672	-0.982	-3.437	-1.867	3.838	0.413	6.873	2.199	3.629	4.789	5.033	-3.869	-1.188	-1.806	-4.809	1.883	2.624	-5.559	-7.247	-2.230	-1.807	-1.359	-3.463	-3.114	6.231	8.036	-7.139	0.738	40	Cars
-7.751	5.461	-0.387	1.563	9.919	0.105	2.792	-3.585	5.189	-9.854	23.652	5.671	0.785	-1.520	-0.855	-0.466	-2.783	0.498	1.109	-1.127	0.596	-5.805	-4.369	-5.513	-7.257	-2.828	3.039	4.808	40	Faces
-26.758	-4.059	-7.664	5.876	11.300	16.528	9.729	-3.043	-1.037	16.321	5.839	13.420	12.278	10.614	-21.449	-4.144	-6.319	-8.269	7.723	4.131	1.453	6.123	5.181	14.237	-4.168	7.537	3.121	5.779	40	Faces
