FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
1.209	-6.177	14.454	-5.219	1.759	-0.951	2.580	0.288	-0.795	5.268	-2.212	2.789	-3.603	-2.013	-3.899	-6.335	-8.369	-2.642	0.465	-0.343	-3.807	1.298	-0.568	8.549	-1.246	5.702	6.941	4.348	30	Faces
3.829	-2.757	8.718	-4.297	-2.591	-6.982	-1.134	2.899	8.230	13.132	5.385	4.534	-2.776	-2.266	1.118	5.429	0.374	-3.685	-5.078	7.137	1.036	-9.894	-1.537	-3.450	-5.229	2.569	6.738	2.704	30	ScrambledCars
-12.250	-18.138	-24.077	-10.394	4.788	-7.207	18.203	4.490	14.360	25.292	20.159	11.633	8.723	6.761	-7.515	-19.739	1.556	-19.375	1.129	-14.167	1.659	6.591	-2.404	11.432	5.646	19.180	13.658	18.344	30	ScrambledFaces
-0.635	3.499	-12.457	-5.259	-5.304	-5.809	-7.604	-0.934	2.376	-6.191	0.729	1.416	-14.854	-12.529	3.509	6.020	5.927	3.763	9.115	0.812	-7.945	7.539	7.293	2.151	-0.183	3.594	12.134	9.279	30	Cars
-8.783	-12.321	3.246	-13.878	-6.968	-0.658	6.063	7.954	19.545	13.847	21.778	16.439	-0.530	-2.491	-15.294	-23.930	-14.980	-18.580	-8.762	-18.062	-49.665	-4.812	2.001	12.003	20.342	29.480	21.118	24.508	30	ScrambledCars
3.069	-3.201	-6.372	7.532	5.817	-1.506	5.597	0.947	-1.573	9.161	6.457	3.998	9.094	8.624	4.130	18.593	7.929	-10.395	9.525	22.737	11.093	3.650	-1.842	3.728	0.507	-0.107	7.707	4.602	30	ScrambledCars
1.356	-5.956	4.736	-4.916	-6.871	-14.286	-2.737	-3.912	4.605	4.888	-3.997	1.731	-8.007	-10.710	5.102	1.220	2.707	13.784	-0.495	-4.225	-13.475	-1.619	-1.027	-8.712	-3.632	-2.018	8.179	5.755	30	ScrambledCars
-1.918	-4.808	7.431	-3.991	4.127	-2.129	2.079	-3.626	10.699	0.728	-8.785	2.827	-5.907	-2.480	-9.499	-1.813	-25.077	-7.778	-11.791	1.289	0.275	-11.826	-8.987	-2.240	-1.323	14.770	12.347	12.991	30	ScrambledFaces
-8.832	-4.340	-15.375	1.079	-3.459	-7.740	2.894	9.113	5.907	8.941	12.765	10.384	-5.411	-7.856	-7.083	-14.071	-9.280	-6.243	-10.164	-11.843	-9.208	-3.794	-8.532	2.173	7.075	13.067	14.982	16.017	30	ScrambledFaces
-5.145	-4.441	1.859	-3.181	-13.090	1.650	4.130	12.584	18.607	18.821	21.931	13.561	0.623	-2.082	-16.155	-6.724	-23.924	-27.194	-14.102	-4.998	-4.594	-16.101	-11.018	-7.653	6.381	16.205	14.413	26.390	30	ScrambledFaces
-2.966	-10.669	12.241	0.889	-2.593	3.143	10.314	4.621	13.629	13.169	8.511	6.510	-5.945	-6.700	-3.396	-9.669	-19.542	14.394	-13.679	-2.031	-7.900	-14.837	-12.787	-10.610	-6.944	11.653	6.741	9.777	30	Cars
-9.159	-12.846	-17.311	-16.607	-0.976	-5.844	5.334	-7.756	14.369	14.520	18.569	10.032	11.524	10.385	-4.938	-10.973	-17.100	3.353	-2.101	0.753	8.212	4.700	-1.146	3.207	5.174	3.637	20.487	16.818	30	Cars
-10.934	-18.754	-1.482	-9.282	-5.960	-4.239	9.721	8.710	20.843	24.775	15.899	7.296	8.555	6.325	-20.279	-13.119	-40.171	-20.957	-8.362	-6.213	0.954	-1.562	-5.181	-0.197	3.645	9.401	20.595	11.307	30	Cars
1.545	1.354	-4.748	2.149	6.850	10.032	5.212	-2.538	7.282	5.846	-2.266	-2.216	-2.085	1.200	6.212	-1.255	11.845	5.298	7.455	6.586	4.733	9.077	4.284	2.707	-7.639	-16.041	0.439	-11.971	30	Cars
8.316	13.029	8.612	6.647	8.246	8.620	0.270	-15.373	-2.052	2.553	-5.647	-7.710	-5.893	-6.135	7.514	0.324	8.253	7.849	1.047	-5.845	-7.260	-4.684	2.143	-9.792	-11.311	-5.396	-6.213	-3.797	30	Cars
6.302	5.518	6.689	10.418	15.682	6.919	4.162	-9.464	-18.373	-3.423	-12.599	-3.769	9.673	12.372	4.141	13.794	-5.194	4.628	1.806	7.456	12.012	4.325	-3.295	-9.729	-18.723	-27.445	-18.227	-8.801	30	Cars
-8.648	-8.917	-17.347	-2.112	-0.252	-8.795	17.823	-0.699	24.405	21.392	22.082	23.135	14.238	8.858	-18.023	-6.254	-25.723	-40.265	-2.601	4.513	3.640	-2.936	-5.888	9.453	12.058	26.049	24.960	20.114	30	Faces
-9.594	-8.960	-8.574	-1.353	0.068	4.861	-0.405	3.080	9.217	14.107	10.186	10.132	3.204	-3.102	-11.788	-15.075	-31.504	-1.519	-8.638	-11.947	-8.064	-4.309	-2.633	14.177	4.873	27.605	23.323	5.838	30	ScrambledFaces
-4.665	-0.293	-14.524	-4.585	-8.738	6.702	0.758	-1.579	-1.479	-2.298	6.512	14.585	2.978	1.737	-2.464	-7.913	3.818	-9.477	-1.342	-7.821	-1.697	-7.133	-3.108	0.994	8.464	5.175	20.686	9.534	30	Faces
13.204	7.308	13.050	6.463	-0.225	-3.519	-1.337	-15.047	-13.935	1.428	-7.390	-4.832	-0.662	4.995	15.492	21.070	12.355	18.562	10.931	22.133	14.293	6.782	-2.536	-2.297	-14.952	-7.736	-10.953	-15.919	30	Cars
