FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
3.908	6.894	3.827	2.371	-1.367	-3.801	-6.977	-10.070	-13.713	-6.021	-1.740	0.167	-1.419	-4.150	7.815	10.533	4.487	10.909	7.750	7.041	2.721	2.523	2.147	-5.109	-10.631	-15.395	-6.036	-3.603	22	Faces
-7.708	-12.443	-12.323	-7.943	-7.940	-5.418	7.570	5.640	14.373	12.345	10.212	10.418	6.772	-3.426	-0.339	-8.225	0.581	-7.005	-2.588	-7.035	-4.630	-2.757	-3.753	3.384	2.619	10.398	12.736	15.010	22	ScrambledFaces
4.489	0.770	-0.389	4.204	-1.619	-3.067	-1.364	-5.702	-6.423	-3.356	-0.516	0.142	4.772	2.236	3.888	3.727	2.209	-0.753	-3.379	4.160	3.450	-0.285	-3.808	0.885	-6.347	-4.977	1.864	-0.165	22	Cars
-10.511	-8.624	-4.578	-9.648	-1.235	-1.278	13.038	14.759	20.704	21.639	21.173	13.936	2.509	0.677	-16.926	-9.471	-9.653	-15.731	-9.982	-7.485	-5.240	-9.511	-9.971	5.470	-0.755	9.578	11.316	15.972	22	ScrambledFaces
-0.169	3.296	6.050	6.303	-0.155	1.506	0.282	0.385	3.151	1.286	-0.106	1.294	-2.397	1.208	-0.394	-4.219	1.769	-5.994	-7.553	-3.842	-6.070	-4.555	-7.387	-4.204	-4.123	0.195	2.423	1.428	22	ScrambledCars
7.229	-3.717	-6.066	-2.626	-1.635	-4.478	0.258	-0.011	2.905	0.308	3.601	-0.263	-4.107	-1.416	2.484	-0.508	2.058	0.747	5.380	-1.828	-0.900	3.084	3.779	-0.003	-0.361	1.300	-0.413	5.344	22	ScrambledFaces
-2.738	-1.288	-1.605	0.118	0.291	-1.364	2.004	2.357	4.116	6.768	9.620	5.637	7.249	3.989	-0.327	-0.714	2.960	-5.220	-0.631	0.663	2.762	-2.726	-5.527	0.260	-6.276	-1.429	-0.856	0.954	22	ScrambledFaces
-6.398	-9.650	-4.387	-5.564	-5.868	-2.970	0.049	5.319	5.713	2.861	4.534	5.876	-5.736	-2.408	1.871	2.047	-2.745	-4.843	1.380	1.676	-0.839	2.283	-1.764	-0.156	1.567	5.337	3.305	6.323	22	ScrambledFaces
8.458	3.369	3.060	1.391	-5.470	2.218	-0.131	0.279	-0.564	1.328	1.845	2.671	-5.108	-5.973	2.976	-0.457	0.110	2.553	-2.575	-2.629	-5.053	-6.197	-2.120	-7.225	-6.611	-6.687	-2.752	-6.633	22	Cars
-7.016	-6.412	-8.518	-8.395	-6.475	-7.885	1.214	-1.859	5.241	4.329	4.335	6.286	6.562	-2.529	-8.081	-10.026	-1.786	-5.538	-2.498	-6.459	-2.934	-2.884	-0.280	7.413	5.183	18.563	17.076	17.663	22	ScrambledCars
-3.038	2.056	0.316	3.224	2.148	-1.959	-1.638	-7.997	-6.174	2.252	-0.598	1.649	2.535	-0.329	-4.314	1.050	-1.551	-0.408	7.011	-0.952	1.444	6.116	4.337	4.763	1.144	3.927	4.608	6.724	22	ScrambledFaces
6.212	-1.965	1.514	-3.831	-0.332	-2.114	-6.590	-4.145	-2.784	-5.600	-1.848	-1.965	-2.067	-0.601	3.583	2.956	0.134	5.352	-0.127	1.892	-1.574	-0.333	1.552	-2.185	-1.581	-4.273	-2.345	0.780	22	ScrambledFaces
