FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-1.929	-0.113	-5.451	-2.979	-1.534	-3.079	3.835	3.710	8.248	-1.334	6.601	12.873	10.244	5.904	-22.349	-7.774	-11.267	-8.740	-2.320	0.594	-8.661	5.142	-6.113	-0.794	5.995	6.368	5.484	8.336	32	Cars
-5.779	-4.615	-2.719	-10.651	-3.561	-2.033	6.657	12.828	12.799	10.577	12.425	9.741	2.987	1.800	-12.063	-22.848	-18.421	-18.932	-3.996	-7.618	-0.795	2.650	-1.325	6.197	8.906	10.282	9.674	9.051	32	ScrambledCars
-6.281	-3.880	3.554	-0.851	1.206	2.364	-2.088	3.260	5.315	-4.874	1.642	-3.288	-11.948	-11.512	3.826	0.311	2.518	-4.507	4.096	-4.518	1.736	1.954	1.292	-5.690	5.170	3.329	-1.169	-2.634	32	ScrambledCars
3.049	8.527	-0.979	5.287	-1.062	0.439	-2.838	-2.731	9.623	-3.131	-2.683	-0.865	5.115	0.053	-0.821	8.137	-4.258	-9.810	4.198	7.407	-4.552	17.334	1.161	4.509	-8.305	-1.450	0.528	1.452	32	Faces
-3.218	-12.795	-0.624	-10.724	-6.694	1.626	-1.225	9.713	3.332	12.337	6.744	6.630	1.240	-4.441	-16.095	-14.413	-10.983	-0.741	-11.201	-12.001	-7.911	-2.598	3.175	-3.320	9.206	11.679	-3.054	1.850	32	ScrambledCars
3.350	1.627	6.008	0.487	6.951	3.117	-0.266	0.474	-1.638	6.278	-0.057	-3.578	-1.209	3.618	-6.648	0.245	4.787	-0.246	0.786	-3.691	-1.478	0.677	-3.849	0.187	2.542	-3.650	5.871	-5.121	32	ScrambledFaces
-12.035	-1.644	-7.152	-5.838	-9.805	-3.989	-1.453	3.223	3.498	0.286	17.714	2.993	-2.953	-5.012	-6.351	-3.267	1.604	-6.018	8.684	-6.614	-7.597	-7.420	-2.887	3.045	7.887	8.958	3.462	7.509	32	ScrambledFaces
-2.948	-4.744	1.915	2.165	0.033	1.075	0.600	3.978	17.782	-2.886	5.472	3.770	6.810	1.431	-3.996	-3.142	-9.027	-3.693	0.590	2.054	4.326	-7.142	-1.126	-0.736	-0.162	2.748	-0.959	2.102	32	ScrambledFaces
-0.755	4.394	-7.633	8.649	6.625	-1.590	-0.556	-1.449	-1.298	-0.025	4.077	-0.251	2.785	4.153	0.180	9.177	8.887	-3.567	-4.162	10.977	3.245	1.004	-3.297	1.426	-4.052	-2.583	-4.817	3.242	32	Cars
-16.453	-17.432	-14.433	-11.847	-4.726	0.249	12.015	11.280	17.884	12.430	17.776	18.602	10.831	2.154	-20.325	-14.463	-27.637	-7.057	-9.977	-14.191	-1.263	-0.338	-7.400	6.480	9.096	12.068	13.452	16.824	32	Faces
2.062	1.353	-1.481	-6.601	0.927	-2.610	-2.840	-4.793	2.545	-6.033	3.144	2.762	-2.744	-0.477	2.567	2.363	12.573	3.746	-0.337	-1.202	-1.390	0.302	6.024	5.950	0.744	-1.068	4.822	-2.714	32	ScrambledFaces
-8.234	-14.655	-12.550	-4.526	-5.824	-2.539	5.957	2.301	10.880	12.122	-0.148	2.191	-2.134	0.202	-0.573	-11.359	6.968	-2.580	-6.058	-3.865	0.965	6.056	5.089	5.845	8.379	1.760	2.234	3.736	32	ScrambledFaces
-3.480	-6.443	10.668	2.132	-0.653	-0.951	-0.151	0.308	8.704	-6.022	3.354	2.030	-1.767	-8.824	-1.207	-2.219	5.356	-8.867	-6.163	1.619	-10.420	-13.320	-6.518	-6.184	-0.254	3.839	-2.766	4.715	32	ScrambledCars
1.170	4.154	6.820	1.398	1.247	0.649	-5.861	-7.314	-21.078	-17.434	-7.209	-7.884	-1.015	1.165	7.227	7.520	7.965	1.266	13.404	0.423	3.623	6.920	5.599	-0.599	-0.369	-3.632	-2.160	-2.396	32	Cars
1.229	1.902	-2.466	4.124	-1.138	-1.089	-1.912	4.254	3.431	0.223	4.240	-5.894	-2.955	-2.297	-1.172	-4.942	2.954	-2.902	-0.988	-11.687	-5.635	1.822	1.040	1.665	-1.481	3.425	-4.754	1.871	32	ScrambledCars
4.595	6.909	5.268	6.920	1.110	1.729	-2.924	0.305	-3.393	-6.749	-0.114	-5.772	-7.750	-5.022	4.565	7.830	6.799	-4.375	4.962	9.430	2.053	-2.084	-0.277	-1.296	-1.134	0.723	-2.692	-6.047	32	ScrambledFaces
8.278	5.303	-3.177	0.057	1.661	-1.965	-4.200	0.205	-4.877	1.189	-2.692	-4.029	-3.474	3.818	-0.874	4.141	3.406	4.732	4.117	1.568	0.574	0.137	0.071	-1.520	1.161	-0.050	1.070	-1.182	32	ScrambledCars
-1.863	1.541	-0.752	2.318	0.429	-2.306	-1.570	5.526	0.360	7.309	4.132	-1.785	-0.328	-3.248	5.088	-3.211	0.926	-5.675	1.026	1.398	-1.043	-5.743	-1.705	-1.010	-1.736	5.848	-3.620	-2.266	32	ScrambledFaces
-7.260	-0.056	-11.260	-2.496	1.151	1.117	7.361	-0.276	11.784	7.599	8.241	4.651	9.087	9.367	-7.540	1.669	-7.401	-5.321	2.427	-1.773	6.163	1.430	-5.291	5.026	-1.563	8.623	13.144	12.712	32	Faces
-5.132	-3.092	-2.580	-1.523	-0.681	2.836	4.862	4.244	17.264	4.514	7.344	1.889	6.042	-0.980	-4.356	1.929	-29.281	-5.058	-8.783	7.774	1.061	-0.775	-1.538	1.570	4.502	2.615	1.609	6.260	32	ScrambledCars
0.152	-11.217	6.892	-4.615	0.868	-2.989	-3.587	3.095	8.960	-4.552	5.641	2.140	4.777	-7.807	-0.087	-12.851	4.073	-0.257	-13.991	-2.264	-8.719	-12.748	-9.445	-6.438	5.141	2.618	1.565	6.302	32	ScrambledFaces
-8.424	-6.839	0.702	-7.562	-3.043	0.607	0.778	1.964	5.124	13.546	2.594	1.665	3.177	-3.056	-3.567	-10.151	-1.820	-3.101	-4.757	-6.921	-5.219	-0.565	3.538	1.112	1.651	3.028	5.528	7.643	32	ScrambledCars
-6.376	-1.435	-4.293	2.047	1.403	-0.405	-0.682	-0.982	2.284	-3.420	6.837	3.930	-0.839	-8.141	-6.205	-7.589	-6.989	-2.865	-4.721	-8.107	-7.274	4.001	5.028	3.419	5.991	8.752	5.770	1.162	32	ScrambledCars
-4.422	-7.622	-8.232	-4.474	-4.751	1.383	3.266	6.304	12.756	5.601	10.623	4.157	3.620	1.517	-8.183	-2.053	5.534	-0.616	-0.520	2.674	2.981	4.452	0.950	-0.129	2.589	4.132	0.587	3.769	32	ScrambledFaces
3.392	2.727	12.752	-3.165	-3.929	-0.158	-0.457	0.170	-8.686	0.690	4.629	0.495	-4.410	0.526	5.724	-6.073	6.911	4.048	2.333	3.988	-6.469	-1.579	-0.945	-3.116	-8.092	-6.940	-8.088	-2.230	32	Cars
1.269	2.512	-5.475	-0.495	-6.117	-7.971	-3.326	-1.160	-0.036	-0.763	-1.198	1.299	-1.241	0.118	1.721	0.940	-7.026	-0.359	0.181	0.752	5.514	1.730	8.062	2.605	10.968	8.970	5.733	2.579	32	ScrambledCars
2.366	-1.284	6.535	-0.798	-4.486	-0.768	-2.310	-6.703	-6.550	5.124	-2.172	-4.430	2.251	-5.015	3.172	3.156	12.198	0.755	12.838	3.963	-1.067	1.301	2.876	-0.332	-6.148	-5.990	0.440	-3.185	32	Cars
2.685	-11.042	3.011	-7.225	1.176	0.041	-0.825	1.054	9.686	-6.119	-2.754	-6.136	-2.374	-2.737	1.663	-4.103	5.161	7.097	0.853	-7.493	-0.979	-4.884	1.004	-4.571	2.726	0.081	-3.588	-1.479	32	ScrambledFaces
5.401	1.797	-1.527	-1.041	-3.068	4.364	-2.084	8.154	13.433	-0.261	4.940	-0.778	-12.696	-11.066	1.219	-2.861	6.225	2.941	-2.741	-7.166	-9.393	-11.100	0.394	-7.009	1.081	-5.900	-9.625	0.512	32	ScrambledFaces
-9.612	-2.990	-6.763	-2.604	-2.478	-4.392	1.588	-4.243	7.656	-5.516	4.731	10.724	-4.237	3.425	-2.229	-1.925	2.086	-0.594	2.898	-3.300	2.671	-5.680	-1.561	3.897	5.111	11.149	8.644	-0.661	32	Cars
-6.609	2.886	1.634	2.048	0.024	-1.553	-1.957	-1.936	-1.757	-5.080	-0.805	-0.985	5.671	4.214	5.230	3.938	-15.756	11.281	8.723	0.168	2.474	9.227	9.525	0.651	-5.253	-6.335	2.474	3.787	32	Cars
-4.074	0.706	-1.965	-11.847	-4.989	-2.262	4.533	0.166	-0.562	5.417	2.918	4.766	7.250	-1.844	0.207	-1.113	-3.898	4.344	-3.493	-9.434	2.403	-6.931	-0.234	5.798	3.788	7.464	2.449	5.962	32	Faces
-10.752	-11.921	0.911	-16.659	-6.348	-1.102	-1.002	5.900	7.145	-1.391	9.287	5.951	-1.208	-3.783	-9.287	-9.843	-18.529	-13.310	4.584	-8.575	-10.105	0.386	4.311	4.464	7.705	10.642	7.838	14.735	32	ScrambledFaces
-5.378	-6.224	-9.324	-12.119	-2.031	0.022	3.409	10.333	5.769	-1.893	9.331	3.968	-4.489	-9.538	-10.895	-14.690	-7.176	4.235	-11.663	-16.561	-7.369	-2.745	-1.232	0.124	7.780	10.000	7.906	6.849	32	ScrambledCars
-0.344	-0.667	0.217	-0.943	-1.407	-1.869	0.507	-5.523	-5.080	-6.589	3.560	5.599	4.013	6.744	-1.230	2.130	-1.025	6.643	8.380	-3.480	6.308	-2.789	2.985	2.606	-3.856	5.362	1.302	6.082	32	Faces
6.071	-0.199	-2.199	-6.660	-4.854	-4.214	-2.916	-4.440	-3.394	3.624	3.123	-3.331	-0.880	0.057	8.993	-5.403	-5.361	4.623	-3.140	11.339	-2.633	1.458	2.524	-0.205	2.109	3.533	-5.750	-1.428	32	ScrambledFaces
-6.734	-20.396	-2.108	-14.245	3.231	6.239	9.281	12.021	10.870	5.533	9.808	4.805	6.125	0.134	-12.299	-13.150	-21.195	-8.618	-26.447	-1.165	4.208	3.065	-3.047	11.688	12.431	5.843	7.151	8.207	32	ScrambledCars
