FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-8.950	1.672	-5.359	1.172	-0.160	-3.320	-2.645	-0.048	0.800	-3.226	1.934	-3.910	4.576	0.874	-4.168	2.415	1.712	5.864	1.984	2.626	-0.345	3.061	3.602	-0.304	3.779	2.552	0.293	4.830	10	Cars
2.288	5.891	7.382	-0.050	-2.730	-4.841	-3.669	-3.355	-0.906	-5.198	-2.330	-1.095	-3.149	-2.098	-3.601	-1.635	0.008	14.274	-0.378	-4.206	-3.057	7.221	-1.700	-3.970	-2.692	-6.836	-2.934	-0.622	10	Cars
-2.844	3.520	0.713	3.991	-4.037	-1.028	3.099	-9.185	-7.792	-7.017	-3.427	-5.544	-8.351	0.160	-1.390	7.359	6.247	25.650	5.774	7.963	5.174	11.765	0.204	0.918	-3.702	-1.981	-4.331	-2.423	10	Cars
4.069	2.304	5.297	3.988	-3.413	-6.705	-13.672	-6.017	-6.731	-5.308	-4.169	-6.530	-1.178	-0.339	0.268	2.792	3.622	23.479	7.776	4.437	-1.361	-1.666	-1.340	-0.928	-6.147	-2.621	-4.116	-2.460	10	ScrambledFaces
-5.560	2.203	-2.660	-2.019	-6.118	-3.274	3.107	0.346	0.360	0.028	-0.390	1.533	3.324	4.600	-5.223	-0.220	-0.855	-0.658	1.739	2.625	2.124	7.282	-1.091	1.040	3.179	5.102	3.939	5.200	10	ScrambledFaces
-4.690	3.378	-1.908	-4.417	-2.224	-2.070	-7.534	-1.946	0.749	-2.061	1.653	2.119	-2.963	-3.152	-5.119	2.999	-0.517	-11.344	2.447	1.760	1.825	-1.107	3.242	-0.095	5.872	5.794	3.794	3.534	10	ScrambledFaces
9.481	-5.071	12.570	2.002	-2.063	-2.250	-6.345	-7.985	-11.139	-7.106	-13.105	-11.155	-9.423	-5.549	0.569	-0.236	6.516	12.039	4.238	4.607	-2.445	-2.330	4.672	-4.354	1.795	-3.608	-5.596	-7.079	10	Cars
-0.945	6.026	4.775	4.414	-6.917	-3.941	2.001	3.013	-4.671	-5.884	-4.740	-8.677	-4.994	-4.162	2.093	7.283	4.083	8.010	0.579	10.889	1.425	-7.751	1.516	-1.157	-2.204	-0.808	-2.944	-3.407	10	Cars
-0.047	-2.465	-2.022	-4.252	-6.843	-7.316	2.502	-4.029	-1.498	1.279	10.538	6.399	2.672	-3.113	-5.653	-4.049	0.025	7.034	4.677	-2.000	-2.524	-6.925	0.934	0.738	-2.151	5.845	5.857	5.493	10	Cars
12.631	5.440	10.825	6.949	1.033	4.371	3.199	1.895	-2.097	-1.649	-2.061	-4.977	-0.002	-1.863	1.171	-2.391	-0.493	5.132	-0.682	-1.021	-3.477	-13.250	-2.607	-7.139	-8.214	-12.229	-9.098	-9.013	10	Cars
